bannerid;banname;bandesc;filetype;url;width;height;bantype;person_tag
31887;d281da;fe13d6;2;21d03e;300;600;1;9,82,87
31888;48a36f;fe13d6;2;21d03e;160;600;1;82,87
31889;3f05ba;fe13d6;2;21d03e;300;600;1;82,87
31890;3e80d4;fe13d6;2;21d03e;160;600;1;82,87
31905;9e2aec;fe13d6;2;21d03e;300;250;1;82,87
31906;0c94a1;fe13d6;2;21d03e;300;250;1;82,87
31907;1e1b5b;fe13d6;2;21d03e;980;90;1;82,87
31908;6d17fc;fe13d6;2;21d03e;980;90;1;82,87
31909;62f1e9;fe13d6;2;21d03e;728;90;1;82,87
31910;92ef6a;fe13d6;2;21d03e;728;90;1;82,87
31873;f89148;fe13d6;1;980deb;300;250;1;81,89,90
31883;ba0695;fe13d6;1;d1100a;300;600;1;60,81
31899;cf46f5;fe13d6;2;6fcab8;300;600;1;60,81
31900;b2a11d;fe13d6;2;6fcab8;980;90;1;60,81
31901;21848c;fe13d6;2;6fcab8;160;600;1;60,81
31902;4a48f3;fe13d6;2;6fcab8;300;250;1;60,81
31903;4a48f3;fe13d6;2;6fcab8;300;250;1;N/A
31904;524c9d;fe13d6;1;4ebe3c;728;90;1;
31917;e5ed2e;fe13d6;1;abbb5f;300;600;1;69,81
31918;9ca9f0;fe13d6;1;91aa42;300;600;1;69,81
31919;ba303b;fe13d6;1;924c8e;300;600;1;60,81
31923;9273ac;fe13d6;2;f9543c;980;90;1;60,81
31924;6b4e8a;fe13d6;2;f9543c;300;250;1;60,81
31925;6c8d12;fe13d6;2;f9543c;300;600;1;60,81
31926;22f49b;fe13d6;2;f9543c;160;600;1;60,81
31927;4a48f3;fe13d6;3;4925ce;300;250;1;60,81
31928;41a642;fe13d6;3;4925ce;160;600;1;60,81
31929;98f369;fe13d6;3;4925ce;980;90;1;60,81
31930;9c80cf;fe13d6;3;4925ce;300;600;1;60,81
31941;b8894b;fe13d6;2;ad252a;300;250;1;60,81
31942;d3e65c;fe13d6;2;ad252a;300;600;1;60,81
31943;c8028d;fe13d6;2;ad252a;980;90;1;60,81
31952;ed7f38;fe13d6;1;d4d2aa;300;250;1;
31931;08a2d5;fe13d6;3;458268;728;90;1;65,81
